id;date;start_time;end_time
1;2022-01-06;2022-01-06T14:06:28;2022-01-05T23:47:59
2;2022-01-06;2022-01-05T23:40:19;2022-01-06T09:31:11
3;2022-01-06;2022-01-05T18:41:43;2022-01-06T07:01:45
4;2022-01-06;2022-01-06T13:54:11;2022-01-06T11:47:45
5;2022-01-05;2022-01-06T06:32:32;2022-01-05T21:28:49
6;2022-01-06;2022-01-05T18:24:06;2022-01-06T10:55:46
7;2022-01-06;2022-01-06T06:59:15;2022-01-05T19:37:08
8;2022-01-06;2022-01-05T21:59:32;2022-01-05T23:24:23
9;2022-01-05;2022-01-05T19:48:24;2022-01-06T02:44:39
10;2022-01-05;2022-01-05T19:24:32;2022-01-06T15:55:23
