id;name;description;duration;price
1;Wooden collaborative system;Grocery leverage;71640;62093
2;Brand;HDD revolutionary Account;86970;11585
3;Open-architected;Frozen Awesome payment;38562;19230
4;Checking THX;Developer Squares;50155;23470
5;Gorgeous Gabon;holistic Loan Ergonomic;88425;83015
6;Libyan frictionless;auxiliary;9617;66385
7;Concrete Executive Customer;parse Vermont;8615;47893
8;Pizza enhance;Usability USB;7870;18845
9;CSS pink XML;eyeballs;9175;3704
10;grey Keyboard;user-centric;48827;87419
